fulcrum_id,created_at,updated_at,created_by,updated_by,system_created_at,system_updated_at,version,status,project,assigned_to,latitude,longitude,geometry,photos,photos_caption,photos_url,tree_species,diameter,condition,condition_other,more_information,growing_space_limitations_or_conflicts,gps_altitude,gps_horizontal_accuracy,gps_vertical_accuracy,gps_speed,gps_course
61f48723-bab1-4e10-be87-f1b501a2ded6,2019-07-08 14:45:02 UTC,2019-07-08 15:03:46 UTC,josh.hagedorn@gmail.com,josh.hagedorn@gmail.com,2019-07-09 17:13:11 UTC,2019-07-09 17:13:11 UTC,1,Inventoried,,,42.995574,-85.740729,POINT (-85.740729 42.995574),"c8084c01-38ea-4916-83f0-fd94841d877d,3b1cd49d-f8ae-4962-9687-4e96cf29077b,e700fe41-281a-404a-8518-83f1c39a1b52,a1c07503-2da8-4296-988b-070e7919e933",",,,",https://web.fulcrumapp.com/photos/view?photos=c8084c01-38ea-4916-83f0-fd94841d877d%2C3b1cd49d-f8ae-4962-9687-4e96cf29077b%2Ce700fe41-281a-404a-8518-83f1c39a1b52%2Ca1c07503-2da8-4296-988b-070e7919e933,Sugar Maple,8.3,Healthy,,,None,204.0,4.665,,,
46377cd2-b9b1-4db9-add6-c2dbeca0a01e,2019-07-08 15:08:05 UTC,2019-07-08 15:29:19 UTC,josh.hagedorn@gmail.com,josh.hagedorn@gmail.com,2019-07-09 17:13:12 UTC,2019-07-09 17:13:12 UTC,1,Inventoried,,,42.9948693,-85.7422206,POINT (-85.7422206 42.9948693),"816254c9-0cff-4588-80fb-95e9ac6a067c,10aa9bdd-e3a5-4f50-8eab-27c24dd90be3,bafcd1bb-44ff-401d-8745-680969985e9d,02f2e94d-fc3a-4e23-8107-ae67b24dc834",",,,",https://web.fulcrumapp.com/photos/view?photos=816254c9-0cff-4588-80fb-95e9ac6a067c%2C10aa9bdd-e3a5-4f50-8eab-27c24dd90be3%2Cbafcd1bb-44ff-401d-8745-680969985e9d%2C02f2e94d-fc3a-4e23-8107-ae67b24dc834,Ironwood,8.1,Healthy,,,"Pathway blocking roots, larger trees",204.0,3.92,,,
7c79e662-44fa-4446-984e-1eb921780212,2019-07-08 15:31:29 UTC,2019-07-09 15:01:26 UTC,josh.hagedorn@gmail.com,josh.hagedorn@gmail.com,2019-07-09 17:13:13 UTC,2019-07-09 17:13:13 UTC,1,Inventoried,,,42.9963984,-85.7411397,POINT (-85.7411397 42.9963984),,,,Black Oak,6.3,Healthy,,,None,209.0,3.0,,,
bfbcdccc-5bc0-4bc8-a6e7-051703dcd784,2019-07-08 15:55:12 UTC,2019-07-08 16:21:01 UTC,josh.hagedorn@gmail.com,josh.hagedorn@gmail.com,2019-07-09 17:13:13 UTC,2019-07-09 17:13:13 UTC,1,Inventoried,,,42.997133,-85.7391574,POINT (-85.7391574 42.997133),"530fd74e-3077-4477-903b-6034054aba13,9c521c87-4178-4507-87d7-461871f79f5b,7d8c18bd-e932-4ca1-a60a-0cbd37f76c27",",,",https://web.fulcrumapp.com/photos/view?photos=530fd74e-3077-4477-903b-6034054aba13%2C9c521c87-4178-4507-87d7-461871f79f5b%2C7d8c18bd-e932-4ca1-a60a-0cbd37f76c27,American Beech,6.5,Healthy,,,Steep Hill,197.0,6.523,,,0.0
a5da05ac-f349-47fa-b4ad-6a4589d5173e,2019-07-08 16:31:21 UTC,2019-07-08 16:40:19 UTC,josh.hagedorn@gmail.com,josh.hagedorn@gmail.com,2019-07-09 17:13:14 UTC,2019-07-09 17:13:14 UTC,1,Inventoried,,,42.9984952,-85.7379917,POINT (-85.7379917 42.9984952),"d3d584ac-d636-4d49-a73f-dcd91e2a8efe,d8ed25d8-f6f4-467b-88e7-35e819183547,91e564b1-a259-4447-8c3a-ac6b172e57f8",",,",https://web.fulcrumapp.com/photos/view?photos=d3d584ac-d636-4d49-a73f-dcd91e2a8efe%2Cd8ed25d8-f6f4-467b-88e7-35e819183547%2C91e564b1-a259-4447-8c3a-ac6b172e57f8,American Basswood,17.2,"Healthy,Soil conditions",,,None ,185.0,3.493,,,
77dadc32-56ef-4bc8-a0b9-19ea84899800,2019-07-09 14:20:19 UTC,2019-07-09 14:29:03 UTC,josh.hagedorn@gmail.com,josh.hagedorn@gmail.com,2019-07-09 17:13:15 UTC,2019-07-09 17:13:15 UTC,1,Inventoried,,,42.9963185454103,-85.7397850602865,POINT (-85.7397850602865 42.9963185454103),"afe1e8f3-c098-4e90-8509-306020f8764d,98095fbd-bbd1-49d7-81b7-fc56248bd36a,37a78a05-8624-4789-8db9-9ee295b1a5b0",",,",https://web.fulcrumapp.com/photos/view?photos=afe1e8f3-c098-4e90-8509-306020f8764d%2C98095fbd-bbd1-49d7-81b7-fc56248bd36a%2C37a78a05-8624-4789-8db9-9ee295b1a5b0,Sugar Maple,7.9,Insects,,Bottom of tree dead. Rotten arts on the ground. A few holes infested with various insects,None,,,,,
365d40d3-a43b-414d-9fb2-b0fa7c73a4a5,2019-07-09 14:30:07 UTC,2019-07-09 14:42:04 UTC,josh.hagedorn@gmail.com,josh.hagedorn@gmail.com,2019-07-09 17:13:15 UTC,2019-07-09 17:13:15 UTC,1,Inventoried,,,42.9962552,-85.7397237,POINT (-85.7397237 42.9962552),"acbe80a0-51d6-4c56-a357-3decf95c8594,8524c3c1-a179-451c-b440-74db3f4962be,0e46de5c-4159-46c1-9516-b78c6f0eedab",",,",https://web.fulcrumapp.com/photos/view?photos=acbe80a0-51d6-4c56-a357-3decf95c8594%2C8524c3c1-a179-451c-b440-74db3f4962be%2C0e46de5c-4159-46c1-9516-b78c6f0eedab,American Beech,13.5,Healthy,repeated carving,,Big tree that partly blocks sunlight,198.0,3.644,,,
62e8f8db-c8c4-4675-a6e0-a2a57b422355,2019-07-09 14:44:54 UTC,2019-07-09 14:49:47 UTC,josh.hagedorn@gmail.com,josh.hagedorn@gmail.com,2019-07-09 17:13:16 UTC,2019-07-09 17:13:16 UTC,1,Inventoried,,,42.9962765,-85.7397671,POINT (-85.7397671 42.9962765),,,,Sugar Maple,,"Insects,Mechanical agents",,Branches chopped off until high point ,None,188.0,3.0,,,
3a1aeab9-9b94-4944-9563-88f5028fe37e,2019-07-09 14:49:50 UTC,2019-07-09 14:52:28 UTC,josh.hagedorn@gmail.com,josh.hagedorn@gmail.com,2019-07-09 17:13:16 UTC,2019-07-09 17:13:16 UTC,1,Inventoried,,,42.9963057,-85.7396668,POINT (-85.7396668 42.9963057),,,,American Beech,6.4,"Insects,Mechanical agents",,Many carvings in the tree. Multiple larger trees to contest with,Large trees,201.0,4.0,,,153.0
0969a7d6-16e3-4d93-9e22-06a37017f2ab,2019-07-09 14:53:25 UTC,2019-07-09 14:57:15 UTC,josh.hagedorn@gmail.com,josh.hagedorn@gmail.com,2019-07-09 17:13:17 UTC,2019-07-09 17:13:17 UTC,1,Inventoried,,,42.9962207,-85.7396759,POINT (-85.7396759 42.9962207),,,,Sugar Maple,13.4,"Bacteria,Insects",,Missing branches ,None,219.0,10.699,,,
f2e2371b-142b-493f-af9e-87d19e020dd5,2019-07-09 15:02:03 UTC,2019-07-09 15:06:38 UTC,josh.hagedorn@gmail.com,josh.hagedorn@gmail.com,2019-07-09 17:13:17 UTC,2019-07-09 17:13:17 UTC,1,Inventoried,,,42.996343,-85.7398846,POINT (-85.7398846 42.996343),"a438c992-8f0b-40d1-bcc9-cf38b913033f,f00818e8-47ac-410f-9329-eccf2c221b6c,71368c48-3c20-4525-a0e2-81a7c30c2d4e",",,",https://web.fulcrumapp.com/photos/view?photos=a438c992-8f0b-40d1-bcc9-cf38b913033f%2Cf00818e8-47ac-410f-9329-eccf2c221b6c%2C71368c48-3c20-4525-a0e2-81a7c30c2d4e,American Beech,9.4,Healthy,,,None,177.0,3.0,,,273.0
58be650a-47cb-4fa9-bc9a-d51284a725ad,2019-07-09 15:08:41 UTC,2019-07-09 15:15:16 UTC,josh.hagedorn@gmail.com,josh.hagedorn@gmail.com,2019-07-09 17:13:18 UTC,2019-07-09 17:13:18 UTC,1,Inventoried,,,42.9963584,-85.7397435,POINT (-85.7397435 42.9963584),"9357ea31-aa70-439c-8dd8-9c23b4664808,771a5ab0-d961-4e8f-86e6-42d217abee8b",",",https://web.fulcrumapp.com/photos/view?photos=9357ea31-aa70-439c-8dd8-9c23b4664808%2C771a5ab0-d961-4e8f-86e6-42d217abee8b,Sugar Maple,11.5,Bacteria,,Large burl ,None,172.0,25.953,,,321.0
c68e3562-b022-412d-8b42-ec92ceb82ad4,2019-07-09 15:15:18 UTC,2019-07-09 15:21:22 UTC,josh.hagedorn@gmail.com,josh.hagedorn@gmail.com,2019-07-09 17:13:19 UTC,2019-07-09 17:13:19 UTC,1,Inventoried,,,42.9963122,-85.7398177,POINT (-85.7398177 42.9963122),"2d6977ca-8047-456a-929b-a5642962b372,12261a34-1321-465c-b2b4-cc257afbefd9,8bb570f4-2438-4827-9908-2f424ff7965b",",,",https://web.fulcrumapp.com/photos/view?photos=2d6977ca-8047-456a-929b-a5642962b372%2C12261a34-1321-465c-b2b4-cc257afbefd9%2C8bb570f4-2438-4827-9908-2f424ff7965b,Ironwood,4.6,Healthy,,,None,210.0,14.522,,,
2dccaebf-9b23-4120-81fc-b5ce683e15bd,2019-07-09 15:26:56 UTC,2019-07-09 15:33:11 UTC,josh.hagedorn@gmail.com,josh.hagedorn@gmail.com,2019-07-09 17:13:19 UTC,2019-07-09 17:13:19 UTC,1,Inventoried,,,42.996381,-85.7398331,POINT (-85.7398331 42.996381),"5ffc227c-bfce-4174-8330-d2dcc9606f14,7265ef3e-75e2-4f18-bf0d-a2e1f8502c5b,9d192ab3-11ad-4d60-b176-84365b00622a",",,",https://web.fulcrumapp.com/photos/view?photos=5ffc227c-bfce-4174-8330-d2dcc9606f14%2C7265ef3e-75e2-4f18-bf0d-a2e1f8502c5b%2C9d192ab3-11ad-4d60-b176-84365b00622a,Sugar Maple,10.8,Healthy,,,"
Another tree less than a foot from it",174.0,22.522,,,0.0
a181b5ef-b13b-434c-bdef-22b9ef2ef7da,2019-07-09 15:33:24 UTC,2019-07-09 15:35:54 UTC,josh.hagedorn@gmail.com,josh.hagedorn@gmail.com,2019-07-09 17:13:20 UTC,2019-07-09 17:13:20 UTC,1,Inventoried,,,42.9962611,-85.7395629,POINT (-85.7395629 42.9962611),,,,American Beech,7,Healthy,,,Sugar maple intruding on root space,216.0,4.6,,,
